"name","pname","version","patches","system","out","outputs","store_path","cpe","purl","urls","pname_meta","version_meta","meta_homepage","meta_unfree","meta_description","meta_license_short","meta_license_spdxid","meta_maintainers_email"
"X-Restart-Triggers-systemd-udevd","X-Restart-Triggers-systemd-udevd","","","x86_64-linux","/nix/store/k32j60s7176xqii57fyj6a44spc9p3w8-X-Restart-Triggers-systemd-udevd","['/nix/store/k32j60s7176xqii57fyj6a44spc9p3w8-X-Restart-Triggers-systemd-udevd']","/nix/store/7mczaqdl1p6k2vncc8z9scf4412jdwxg-X-Restart-Triggers-systemd-udevd.drv","cpe:2.3:a:X-Restart-Triggers-systemd-udevd:X-Restart-Triggers-systemd-udevd::*:*:*:*:*:*:*","pkg:nix/X-Restart-Triggers-systemd-udevd","","","","","","","","",""
"X11-fonts","X11-fonts","","","x86_64-linux","/nix/store/6vhxjvqp60lk6w4j9d1fzg4g3yb7fdcr-X11-fonts","['/nix/store/6vhxjvqp60lk6w4j9d1fzg4g3yb7fdcr-X11-fonts']","/nix/store/cdygba2n99gv3ap31sz8isbvmjbsfh4j-X11-fonts.drv","cpe:2.3:a:X11-fonts:X11-fonts::*:*:*:*:*:*:*","pkg:nix/X11-fonts","","","","","","","","",""
"a52dec-0.8.0","a52dec","0.8.0","","x86_64-linux","/nix/store/q975b6j2afsmndaplzf7xzj4cd5wprr7-a52dec-0.8.0","['/nix/store/q975b6j2afsmndaplzf7xzj4cd5wprr7-a52dec-0.8.0']","/nix/store/7fkhi90pgmprmdr30h4ysxd167zxkm8n-a52dec-0.8.0.drv","cpe:2.3:a:a52dec:a52dec:0.8.0:*:*:*:*:*:*:*","pkg:nix/a52dec@0.8.0","","a52dec","0.8.0","https://liba52.sourceforge.io/","False","ATSC A/52 stream decoder","gpl2Plus","GPL-2.0-or-later","contact@weijia.wang"
"aalib-1.4rc5","aalib","1.4rc5","/nix/store/jzbrlcq62j1pf28fjqhh0zmdmkz1lsx0-clang.patch /nix/store/mhyngqsh2grd9bkrsszwqh68cf12344n-ncurses-6.5.patch","x86_64-linux","/nix/store/mdj1s8bddzbrdg5vcpkrhsr1x462l0x6-aalib-1.4rc5","['/nix/store/mdj1s8bddzbrdg5vcpkrhsr1x462l0x6-aalib-1.4rc5']","/nix/store/0sc5qq89894bijmabamf1m1lwi4nhlsg-aalib-1.4rc5.drv","cpe:2.3:a:aalib:aalib:1.4rc5:*:*:*:*:*:*:*","pkg:nix/aalib@1.4rc5","","aalib","1.4rc5","","False","ASCII art graphics library","lgpl2","LGPL-2.0",""
"abseil-cpp-20240722.1","abseil-cpp","20240722.1","/nix/store/15ll77h345sg1jb7q30xvhn9r72bmj6x-9cb5e5d15c142e5cc43a2c1db87c8e4e5b6d38a5.patch /nix/store/ffnq0rs6kllk1ksxyj4jb48b6v4aidvh-bd0c9c58cac4463d96b574de3097422bb78215a8.patch","x86_64-linux","/nix/store/wbn9bm3i922jqmrg0vgl8zdi7z62yw9l-abseil-cpp-20240722.1","['/nix/store/wbn9bm3i922jqmrg0vgl8zdi7z62yw9l-abseil-cpp-20240722.1']","/nix/store/36mzmxpfhzrpqk0py6g1v80dqx17w3pq-abseil-cpp-20240722.1.drv","cpe:2.3:a:abseil-cpp:abseil-cpp:20240722.1:*:*:*:*:*:*:*","pkg:nix/abseil-cpp@20240722.1","","abseil-cpp","20240722.1","https://abseil.io/","False","Open-source collection of C++ code designed to augment the C++ standard library","asl20","Apache-2.0","gaetan@glepage.com"
"account-command.sh","account-command.sh","","","x86_64-linux","/nix/store/fsbnz61fhla6cmkdyvmxarbr96qblf3b-account-command.sh","['/nix/store/fsbnz61fhla6cmkdyvmxarbr96qblf3b-account-command.sh']","/nix/store/v9af480hajvykyxi5cixyij9921nrrxz-account-command.sh.drv","cpe:2.3:a:account-command.sh:account-command.sh::*:*:*:*:*:*:*","pkg:nix/account-command.sh","","","","","","","","",""
"acl-2.3.2","acl","2.3.2","","x86_64-linux","/nix/store/zlhxfnpm04w3gyv4v4dvd9x4aj4nghfw-acl-2.3.2","['/nix/store/1f74i065wxzkrafqx777mscjh44l1jnx-acl-2.3.2-bin', '/nix/store/246d9p4pyxrg599a3xjqandvqj7wl8sj-acl-2.3.2-doc', '/nix/store/kgrcc7qsr9srcm8g0mrjh9ii8rjxnqql-acl-2.3.2-man', '/nix/store/zlhxfnpm04w3gyv4v4dvd9x4aj4nghfw-acl-2.3.2']","/nix/store/l1kr3iblibx5rsgq0hwkhvb67x6cig35-acl-2.3.2.drv","cpe:2.3:a:acl:acl:2.3.2:*:*:*:*:*:*:*","pkg:nix/acl@2.3.2","","acl","2.3.2","https://savannah.nongnu.org/projects/acl","False","Library and tools for manipulating access control lists","gpl2Plus","GPL-2.0-or-later",""
"acl-2.3.2","acl","2.3.2","","i686-linux","/nix/store/aph1bm4fxyqmh9byzfanxa35ffpnw229-acl-2.3.2","['/nix/store/aph1bm4fxyqmh9byzfanxa35ffpnw229-acl-2.3.2']","/nix/store/wjvik2nrxp92wrkd035vhf4dzfh2vmxw-acl-2.3.2.drv","cpe:2.3:a:acl:acl:2.3.2:*:*:*:*:*:*:*","pkg:nix/acl@2.3.2","","acl","2.3.2","https://savannah.nongnu.org/projects/acl","False","Library and tools for manipulating access control lists","gpl2Plus","GPL-2.0-or-later",""
"ada-grammar-0.0.0+rev=e8e2515","ada-grammar","0.0.0+rev=e8e2515","","x86_64-linux","/nix/store/amyk6pv7xcvxgpy0709pxyjc4p136k1z-ada-grammar-0.0.0+rev=e8e2515","['/nix/store/amyk6pv7xcvxgpy0709pxyjc4p136k1z-ada-grammar-0.0.0+rev=e8e2515']","/nix/store/bcfv2nchxxlq2fsm1ajh4pniff3j27db-ada-grammar-0.0.0+rev=e8e2515.drv","cpe:2.3:a:ada-grammar:ada-grammar:0.0.0+rev=e8e2515:*:*:*:*:*:*:*","pkg:nix/ada-grammar@0.0.0%2Brev%3De8e2515","","","","","","","","",""
"adwaita-icon-theme-47.0","adwaita-icon-theme","47.0","","x86_64-linux","/nix/store/50v8lp0y3jpjq6k7bqs49qfw1xrygxk1-adwaita-icon-theme-47.0","['/nix/store/50v8lp0y3jpjq6k7bqs49qfw1xrygxk1-adwaita-icon-theme-47.0']","/nix/store/76i6i0y4a40ag8x7nla5612lkjibbaff-adwaita-icon-theme-47.0.drv","cpe:2.3:a:adwaita-icon-theme:adwaita-icon-theme:47.0:*:*:*:*:*:*:*","pkg:nix/adwaita-icon-theme@47.0","","adwaita-icon-theme","47.0","https://gitlab.gnome.org/GNOME/adwaita-icon-theme","False","","cc-by-sa-30","CC-BY-SA-3.0","rjl931189261@126.com;torhedinbronner@gmail.com;jtojnar@gmail.com;daniel@serbanescu.dk"
"agda-grammar-0.0.0+rev=b9b32fa","agda-grammar","0.0.0+rev=b9b32fa","","x86_64-linux","/nix/store/x23j7gzj3z2s2r4rsf9ijfivdy2dnb5j-agda-grammar-0.0.0+rev=b9b32fa","['/nix/store/x23j7gzj3z2s2r4rsf9ijfivdy2dnb5j-agda-grammar-0.0.0+rev=b9b32fa']","/nix/store/z48b26sn5njgbqpr4dq2fxz7vikvbwwh-agda-grammar-0.0.0+rev=b9b32fa.drv","cpe:2.3:a:agda-grammar:agda-grammar:0.0.0+rev=b9b32fa:*:*:*:*:*:*:*","pkg:nix/agda-grammar@0.0.0%2Brev%3Db9b32fa","","","","","","","","",""
"airshipper-0.16.0","airshipper","0.16.0","","x86_64-linux","/nix/store/c5bbgiyhbal6npm441arrxkcp8gc7g1b-airshipper-0.16.0","['/nix/store/c5bbgiyhbal6npm441arrxkcp8gc7g1b-airshipper-0.16.0']","/nix/store/37znskvy5i78lpx311gngq70hf5m67pi-airshipper-0.16.0.drv","cpe:2.3:a:airshipper:airshipper:0.16.0:*:*:*:*:*:*:*","pkg:nix/airshipper@0.16.0","","airshipper","0.16.0","https://www.veloren.net","False","Provides automatic updates for the voxel RPG Veloren","gpl3","GPL-3.0","y.bera003.06@protonmail.com"
"alacritty-0.15.1","alacritty","0.15.1","","x86_64-linux","/nix/store/m03vwr2lh58rhzphr715ilf3gyfrzi75-alacritty-0.15.1","['/nix/store/l010bs3b75zmhsimff8cvq3g6h90yvrd-alacritty-0.15.1-terminfo']","/nix/store/5g7mahp9nfcjp01yxkv3hakfd4klrliv-alacritty-0.15.1.drv","cpe:2.3:a:alacritty:alacritty:0.15.1:*:*:*:*:*:*:*","pkg:nix/alacritty@0.15.1","","alacritty","0.15.1","https://github.com/alacritty/alacritty","False","Cross-platform, GPU-accelerated terminal emulator","asl20","Apache-2.0","brightone@protonmail.com;ramses@well-founded.dev"
"alsa-firmware-1.2.4-zstd","alsa-firmware-1.2.4-zstd","","","x86_64-linux","/nix/store/j6p0218kwax0aq23lshvw9p34m6h8b0i-alsa-firmware-1.2.4-zstd","['/nix/store/j6p0218kwax0aq23lshvw9p34m6h8b0i-alsa-firmware-1.2.4-zstd']","/nix/store/54inbw8vymg65bmv3dx2x2j9d8mm0rrp-alsa-firmware-1.2.4-zstd.drv","cpe:2.3:a:alsa-firmware-1.2.4-zstd:alsa-firmware-1.2.4-zstd::*:*:*:*:*:*:*","pkg:nix/alsa-firmware-1.2.4-zstd","","","","","","","","",""
"alsa-lib-1.2.13","alsa-lib","1.2.13","/nix/store/ilsa6dxdcjdpxmpsz7cvflrhcs98czfd-alsa-plugin-conf-multilib.patch","i686-linux","/nix/store/8z7v78vhsdkifdh0q05d1blh602wscgd-alsa-lib-1.2.13","['/nix/store/8z7v78vhsdkifdh0q05d1blh602wscgd-alsa-lib-1.2.13']","/nix/store/1bng5vcsx0z4vkgkv5afz161h41wi385-alsa-lib-1.2.13.drv","cpe:2.3:a:alsa-project:alsa-lib:1.2.13:*:*:*:*:*:*:*","pkg:nix/alsa-lib@1.2.13","","alsa-lib","1.2.13","","False","wrapper to ease access to ALSA plugins","","","nix@quidecco.pl"
"alsa-lib-1.2.13","alsa-lib","1.2.13","/nix/store/ilsa6dxdcjdpxmpsz7cvflrhcs98czfd-alsa-plugin-conf-multilib.patch","x86_64-linux","/nix/store/2bp6s10j3b6rwqn6p0wy27q78db7ldz1-alsa-lib-1.2.13","['/nix/store/2bp6s10j3b6rwqn6p0wy27q78db7ldz1-alsa-lib-1.2.13']","/nix/store/x34zsjgq0jvh2p45xgry7ma3yk0pnxcw-alsa-lib-1.2.13.drv","cpe:2.3:a:alsa-project:alsa-lib:1.2.13:*:*:*:*:*:*:*","pkg:nix/alsa-lib@1.2.13","","alsa-lib","1.2.13","","False","wrapper to ease access to ALSA plugins","","","nix@quidecco.pl"
"alsa-topology-conf-1.2.5.1","alsa-topology-conf-1.2.5.1","1.2.5.1","","i686-linux","/nix/store/2waypws7q9k3x1zkcwg1y6xis8zh928g-alsa-topology-conf-1.2.5.1","['/nix/store/2waypws7q9k3x1zkcwg1y6xis8zh928g-alsa-topology-conf-1.2.5.1']","/nix/store/ls392z8ps07p3am2i14hx5846qpw56al-alsa-topology-conf-1.2.5.1.drv","cpe:2.3:a:alsa-topology-conf-1.2.5.1:alsa-topology-conf-1.2.5.1:1.2.5.1:*:*:*:*:*:*:*","pkg:nix/alsa-topology-conf-1.2.5.1@1.2.5.1","","alsa-topology-conf","1.2.5.1","https://www.alsa-project.org/","False","ALSA topology configuration files","bsd3","BSD-3-Clause","r.dee.b.b@gmail.com"
"alsa-topology-conf-1.2.5.1","alsa-topology-conf-1.2.5.1","1.2.5.1","","x86_64-linux","/nix/store/1jhyzihk69d2f2adka860j33llj5wrbv-alsa-topology-conf-1.2.5.1","['/nix/store/1jhyzihk69d2f2adka860j33llj5wrbv-alsa-topology-conf-1.2.5.1']","/nix/store/rs36427a5r8pxr61ca60svplrq09xg2c-alsa-topology-conf-1.2.5.1.drv","cpe:2.3:a:alsa-topology-conf-1.2.5.1:alsa-topology-conf-1.2.5.1:1.2.5.1:*:*:*:*:*:*:*","pkg:nix/alsa-topology-conf-1.2.5.1@1.2.5.1","","alsa-topology-conf","1.2.5.1","https://www.alsa-project.org/","False","ALSA topology configuration files","bsd3","BSD-3-Clause","r.dee.b.b@gmail.com"
"alsa-ucm-conf-1.2.12","alsa-ucm-conf","1.2.12","","x86_64-linux","/nix/store/pyzjkilq4hkk5p1kjqbb8n1lwvyfdi9h-alsa-ucm-conf-1.2.12","['/nix/store/pyzjkilq4hkk5p1kjqbb8n1lwvyfdi9h-alsa-ucm-conf-1.2.12']","/nix/store/6jv8br7c30x3lq6bqgi41w8bvyxjk969-alsa-ucm-conf-1.2.12.drv","cpe:2.3:a:alsa-ucm-conf:alsa-ucm-conf:1.2.12:*:*:*:*:*:*:*","pkg:nix/alsa-ucm-conf@1.2.12","","alsa-ucm-conf","1.2.12","https://www.alsa-project.org/","False","ALSA Use Case Manager configuration","bsd3","BSD-3-Clause","r.dee.b.b@gmail.com"
"alsa-ucm-conf-1.2.12","alsa-ucm-conf","1.2.12","","i686-linux","/nix/store/5gl6h2kj2ix978d2zxkshl5rj7jyz03f-alsa-ucm-conf-1.2.12","['/nix/store/5gl6h2kj2ix978d2zxkshl5rj7jyz03f-alsa-ucm-conf-1.2.12']","/nix/store/x85iw5lv9nwf95ps8bh2hpb35cbck7l7-alsa-ucm-conf-1.2.12.drv","cpe:2.3:a:alsa-ucm-conf:alsa-ucm-conf:1.2.12:*:*:*:*:*:*:*","pkg:nix/alsa-ucm-conf@1.2.12","","alsa-ucm-conf","1.2.12","https://www.alsa-project.org/","False","ALSA Use Case Manager configuration","bsd3","BSD-3-Clause","r.dee.b.b@gmail.com"
"amdvlk-2025.Q1.3","amdvlk","2025.Q1.3","","x86_64-linux","/nix/store/dkm4ir46wbw0ikd1v5cz4v6q9r16cmcf-amdvlk-2025.Q1.3","['/nix/store/dkm4ir46wbw0ikd1v5cz4v6q9r16cmcf-amdvlk-2025.Q1.3']","/nix/store/fr9zan2fmkh9fbhmp67kh0grwaj9xzvv-amdvlk-2025.Q1.3.drv","cpe:2.3:a:amdvlk:amdvlk:2025.Q1.3:*:*:*:*:*:*:*","pkg:nix/amdvlk@2025.Q1.3","","amdvlk","2025.Q1.3","https://github.com/GPUOpen-Drivers/AMDVLK","False","AMD Open Source Driver For Vulkan","mit","MIT","flakebi@t-online.de"
"angular-grammar-0.0.0+rev=8435251","angular-grammar","0.0.0+rev=8435251","","x86_64-linux","/nix/store/7mffsxfjcac084cqm0qgzpsfqz9iws37-angular-grammar-0.0.0+rev=8435251","['/nix/store/7mffsxfjcac084cqm0qgzpsfqz9iws37-angular-grammar-0.0.0+rev=8435251']","/nix/store/4fh2kixzrr20bw8ilrhnfc8qlpdrkxa9-angular-grammar-0.0.0+rev=8435251.drv","cpe:2.3:a:angular-grammar:angular-grammar:0.0.0+rev=8435251:*:*:*:*:*:*:*","pkg:nix/angular-grammar@0.0.0%2Brev%3D8435251","","","","","","","","",""
"apex-grammar-0.0.0+rev=3597575","apex-grammar","0.0.0+rev=3597575","","x86_64-linux","/nix/store/8kxpp7d9jc5nbhrbcr5b4kbl3xl028ai-apex-grammar-0.0.0+rev=3597575","['/nix/store/8kxpp7d9jc5nbhrbcr5b4kbl3xl028ai-apex-grammar-0.0.0+rev=3597575']","/nix/store/wh3r7j3ipdjddq601r8ij73cyray08s2-apex-grammar-0.0.0+rev=3597575.drv","cpe:2.3:a:apex-grammar:apex-grammar:0.0.0+rev=3597575:*:*:*:*:*:*:*","pkg:nix/apex-grammar@0.0.0%2Brev%3D3597575","","","","","","","","",""
"append-initrd-secrets","append-initrd-secrets","","","x86_64-linux","/nix/store/f1laf36shi6n21rgcvighjsglvjbn3ln-append-initrd-secrets","['/nix/store/f1laf36shi6n21rgcvighjsglvjbn3ln-append-initrd-secrets']","/nix/store/smnp3zalxmn00cwh3i4ww5dsb10rbmq6-append-initrd-secrets.drv","cpe:2.3:a:append-initrd-secrets:append-initrd-secrets::*:*:*:*:*:*:*","pkg:nix/append-initrd-secrets","","","","","","","","",""
"appstream-1.0.4","appstream","1.0.4","/nix/store/cgcin2v6py11cnhn7cxkysnc0777flsa-fix-paths.patch /nix/store/4rr6hbvq379yv307jd58dsq5ssk14hsa-installed-tests-path.patch /nix/store/p65bcyyq62qy17pxclm88fwbnj50lxg6-static.patch","x86_64-linux","/nix/store/jf7vmzsmar1iz4f4djljiv3xzzch8mib-appstream-1.0.4","['/nix/store/jf7vmzsmar1iz4f4djljiv3xzzch8mib-appstream-1.0.4']","/nix/store/xplw4gpzwdlqapfs0isyn2xd9ibfdx27-appstream-1.0.4.drv","cpe:2.3:a:symantec:appstream:1.0.4:*:*:*:*:*:*:*","pkg:nix/appstream@1.0.4","","appstream","1.0.4","https://www.freedesktop.org/wiki/Distributions/AppStream/","False","Software metadata handling library","lgpl21Plus","LGPL-2.1-or-later",""
"arduino-grammar-0.0.0+rev=017696b","arduino-grammar","0.0.0+rev=017696b","","x86_64-linux","/nix/store/ilarkdiw13gy4hw05y20q6sh18qj251n-arduino-grammar-0.0.0+rev=017696b","['/nix/store/ilarkdiw13gy4hw05y20q6sh18qj251n-arduino-grammar-0.0.0+rev=017696b']","/nix/store/nxqs1xqhxghjrfmw0v2is2yabwr8jhss-arduino-grammar-0.0.0+rev=017696b.drv","cpe:2.3:a:arduino-grammar:arduino-grammar:0.0.0+rev=017696b:*:*:*:*:*:*:*","pkg:nix/arduino-grammar@0.0.0%2Brev%3D017696b","","","","","","","","",""
"asm-grammar-0.0.0+rev=04962e1","asm-grammar","0.0.0+rev=04962e1","","x86_64-linux","/nix/store/b8kvlby82d1fyq2xk67gkjp01s4zws5c-asm-grammar-0.0.0+rev=04962e1","['/nix/store/b8kvlby82d1fyq2xk67gkjp01s4zws5c-asm-grammar-0.0.0+rev=04962e1']","/nix/store/fj6crcligmw93wh3zw9xn20c7dkc2c82-asm-grammar-0.0.0+rev=04962e1.drv","cpe:2.3:a:asm-grammar:asm-grammar:0.0.0+rev=04962e1:*:*:*:*:*:*:*","pkg:nix/asm-grammar@0.0.0%2Brev%3D04962e1","","","","","","","","",""
